wavelength	s1	s2	s3	s4	s5	s6	s7	s8
1.59289	-39.5753	-47.835	-39.8679	-36.5892	-40.2995	-37.699	-46.0407	-39.1519
1.59288	-38.7153	-45.3998	-40.4485	-36.1203	-41.0393	-38.9759	-51.5218	-43.2991
1.59287	-38.1126	-44.0523	-41.5925	-36.1409	-42.5513	-41.0327	-56.6207	-45.4695
1.59286	-37.7805	-43.5703	-43.5119	-36.6549	-45.1708	-44.0495	-48.4662	-41.7961
1.59285	-37.7159	-43.8663	-46.6716	-37.7173	-49.888	-47.3952	-43.8396	-38.4132
1.59284	-37.9051	-44.9663	-52.3544	-39.463	-61.7739	-47.0173	-41.1859	-36.2734
1.59283	-38.3223	-46.9886	-58.4594	-42.1966	-53.9992	-43.7664	-39.6535	-35.0518
1.59283	-38.9226	-49.9145	-50.2135	-46.7198	-47.2621	-41.1714	-38.9281	-34.546
1.59282	-39.633	-51.7701	-45.5323	-55.682	-43.9433	-39.536	-38.8932	-34.6689
1.59281	-40.3488	-49.3743	-42.8533	-52.4723	-42.0732	-38.6875	-39.5388	-35.4092
1.5928	-40.9538	-46.1567	-41.2701	-45.8716	-41.1103	-38.5231	-40.9397	-36.8098
1.59279	-41.3708	-43.8395	-40.4501	-42.5794	-40.858	-39.0321	-43.2292	-38.9107
1.59278	-41.6042	-42.3854	-40.262	-40.75	-41.2642	-40.3096	-46.2062	-41.3787
1.59277	-41.7216	-41.6475	-40.677	-39.8174	-42.3818	-42.6406	-47.1909	-42.338
1.59276	-41.785	-41.5509	-41.7491	-39.563	-44.4051	-46.8694	-44.3379	-40.4827
1.59275	-41.7931	-42.0892	-43.6455	-39.9065	-47.8413	-57.5189	-41.2955	-38.0541
1.59274	-41.669	-43.3196	-46.7621	-40.8505	-54.0899	-53.997	-39.1312	-36.2144
1.59273	-41.3104	-45.3424	-51.9743	-42.4785	-57.0207	-45.6841	-37.7462	-35.0577
1.59272	-40.6837	-48.0617	-55.86	-45.0021	-49.6206	-41.8941	-37.0036	-34.5214
1.59272	-39.8751	-49.7857	-49.9395	-48.9122	-45.5525	-39.7263	-36.8299	-34.5712
1.59271	-39.0394	-47.9842	-45.8444	-55.1615	-43.2013	-38.5074	-37.2086	-35.2294
1.5927	-38.3217	-45.1745	-43.4663	-56.8837	-41.8441	-37.9926	-38.1758	-36.5996
1.59269	-37.8245	-43.0702	-42.137	-51.4144	-41.192	-38.0941	-39.8255	-38.9332
1.59268	-37.6139	-41.7805	-41.5764	-48.3447	-41.1157	-38.8162	-42.2904	-42.8117
1.59267	-37.735	-41.2215	-41.6759	-46.8746	-41.5579	-40.2572	-45.3866	-48.7299
